id,chapter,section,page_number,content,keywords,medical_category,age_group,created_at,updated_at
16,Chapter Unknown,General,900,"young adults, need to have assured funding for viability and sustainability.
Quality-­of-­care data should be collected and analyzed by age so that the
performance measures for age-­appropriate healthcare needs of adolescents are monitored. Affordability is important for access to preventive
services. Family involvement should be encouraged, but confidentiality
and adolescent consent are critically important and should be addressed
with intentionality at each visit.
Healthcare providers, trained and experienced in adolescent care, should
be available in all communities. Healthcare providers should be adequately
compensated to support the range and intensity of services required to
address the developmental and health service needs of adolescents. The
development and dissemination of provider education about adolescent
preventive health guidelines have been demonstrated to improve the
content of recommended care (Table 151.1). The ease of recognition or
expectation that an adolescent’s needs can be addressed in a setting relates
to the visibility and flexibility of sites and services. Staff at sites should be
approachable, linguistically capable, culturally humble, and able to balance
trauma-­
informed care with healing-­
centered engagement approaches
with attention to equity and social determinants of health. Health services
should be coordinated to respond to goals for adolescent health at the
local, state, and national levels. The coordination should address service
financing and delivery in a manner that reduces disparities in care.
Although most adolescents in the United States have seen a
healthcare provider in the past year and report a usual source of
healthcare, adolescents are less likely to receive preventive care
services. According to the 2019 National Health Interview Survey,
an estimated 92% of 12-­to 17-­year-­old U.S. adolescents had a well
child visit within the past year. Uninsured adolescents are the least
likely to receive care. The National Health Interview Survey found
that 8% of 15-­to 18-­year-­olds were uninsured, whereas 61% and
31% had private and public insurance in 2016, respectively.",adolescent|child|development,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
17,Chapter Unknown,General,950,"Downloaded for mohamed ahmed (dr.mms2020@gmail.com) at University of Southern California from ClinicalKey.com by Elsevier on
April 21, 2024. For personal use only. No other uses without permission. Copyright ©2024. Elsevier Inc. All rights reserved.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
18,Chapter Unknown,"their experiences, from fear of disclosure to the trauma of discrimination or bullying or violence, may direct the clinician to spend more",1000,"). ACIP recommends annual influenza vaccination and hepatitis A virus (HAV) vaccination to adolescents and young adults who
have not previously received the HAV vaccine series if immunity against
HAV is desired or for those at increased risk for infection, such as men
who have sex with men (MSM), injection drug users (IDUs), and those
with chronic liver disease or clotting factor disorders, or those who live
in endemic areas. Although another meningococcal vaccine (MenB) is
not routinely recommended for all adolescents, the ACIP recommends
a MenB vaccine series for people ages 16-­23 based on shared clinical
decision-­making with the patient (or parent/guardian) to provide short-­
term protection against serogroup B meningococcal disease.
The time spent on various elements of the screening will vary with
the issues that surface during the assessment. However, time for
screening and assessment is important for all adolescents, and the
ideal model of adolescent care requires a minimum of 20 minutes per
visit. For lesbian, gay, bisexual, trans, intersex, and asexual youth (see
Chapters 153 and 154), emotional and psychologic concerns related to
their experiences, from fear of disclosure to the trauma of discrimination or bullying or violence, may direct the clinician to spend more
time assessing emotional and psychologic supports in the young person’s environment. For youth with chronic illnesses or special needs,
the assessment of at-­risk behaviors should not be omitted or deemphasized by assuming they do not experience the “normal” adolescent
vulnerabilities.
Visit Elsevier eBooks+ at eBooks.Health.Elsevier.com for Bibliography.",hepatitis|disorder|infection|adolescent|vaccine|disease,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
19,Chapter Unknown,General,1050,"Downloaded for mohamed ahmed (dr.mms2020@gmail.com) at University of Southern California from ClinicalKey.com by Elsevier on
April 21, 2024. For personal use only. No other uses without permission. Copyright ©2024. Elsevier Inc. All rights reserved.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
20,Chapter Unknown,General,1100,"*Screening for Cervical Cancer. April 2012. U.S. Preventive Services Task Force.
†The Centers for Disease Control and Prevention recommends universal, voluntary HIV screening of all sexually active people beginning at age 13 yr. The American Academy of",disease,General Pediatrics,Pediatric,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
21,Chapter Unknown,General,1150,"Pediatrics recommends routine HIV screening offered to all adolescents at least once by 16-­18 yr of age and to those younger if at risk. The U.S. Preventive Services Task Force
recommends routine HIV screening offered to all adolescents age 15 yr and older at least once and to those younger if at risk. Patients who test positive for HIV should receive
prevention counseling and referral to care before leaving the testing site.
NA, Not applicable; NAAT, nucleic acid amplification test; STIs, sexually transmitted infections.
Adapted from Hagan JF, Shaw JS, Duncan PM, eds. Bright Futures: Guidelines for Health Supervision of Infants, Children, and Adolescents, 4th ed. Elk Grove Village, IL:
American Academy of Pediatrics; 2017 and Bright Futures/American Academy of Pediatrics: Recommendations for Preventive Pediatric Health Care (Periodicity Schedule), 2017.
https://www.aap.org/en-­us/Documents/periodicity_schedule.pdf.",pediatric|infant|adolescent|infection|child,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
22,Chapter Unknown,General,1200,"Downloaded for mohamed ahmed (dr.mms2020@gmail.com) at University of Southern California from ClinicalKey.com by Elsevier on
April 21, 2024. For personal use only. No other uses without permission. Copyright ©2024. Elsevier Inc. All rights reserved.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
23,Chapter Unknown,General,1250,"u Delivery of Healthcare to Adolescents
In March 2020, in response to the COVID-­19 pandemic, the Coronavirus Aid, Relief, and Economic Security Act (CARES Act) was
passed. Part of this act requires rapid release of all patient documentation (e.g., notes, laboratory results, problem and medication lists) and
poses a new challenge to the provision of confidential health services
to adolescents.
Providers may elect to establish a policy of discussing with their adolescent patients when medical records and other information will be
disclosed and developing a mechanism to alert office staff as to what
information in the chart is confidential. For legal and other reasons, a
chaperone should be present whenever an adolescent patient’s genitalia
is examined.
Visit Elsevier eBooks+ at eBooks.Health.Elsevier.com for Bibliography.",medication|adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
24,Chapter 12,General,1300,"The preparation for a successful interview with an adolescent patient
varies based on the history of the relationship with the patient.
Patients (and their parents) who are going from preadolescence
to adolescence while seeing the same provider should be guided
through the transition. Although the rules for confidentiality are
the same for new and continuing patients, the change in the physician–patient relationship, allowing more privacy during the visit
and more autonomy in the health process, may be threatening for
the parent and the adolescent. For new patients, the initial phases
of the interview are more challenging given the need to establish
rapport rapidly with the patient in order to meet the goals of the
encounter. Issues of confidentiality and privacy should be explicitly stated along with the conditions under which that confidentiality may need to be altered, that is, in life-­or safety-­threatening
situations. For new patients, the parents should be interviewed with
the adolescent or before the adolescent to ensure that the adolescent does not perceive a breach of confidentiality. The clinician
who takes time to listen, avoids judgmental statements and the use
of street jargon, and shows respect for the adolescent’s emerging
maturity will have an easier time communicating with the adolescent. The use of open-­ended questions, rather than closed-­ended
questions, will further facilitate history taking. (The closed-­ended
question, “Do you get along with your father?” leads to the answer
“yes” or “no,” in contrast to the question, “What might you like to
be different in your relationship with your mother?” which may
lead to an answer such as, “I would like her to stop always worrying
about me.”)
The goals of the interview or clinical encounter are to establish an
information base, identify problems and issues from the patient’s perspective, and identify problems and issues from the perspective of the
clinician, based on knowledge of the health and other issues relevant
to the adolescent age-­group. The adolescent should be given an opportunity to express concerns and the reasons for seeking medical attention. The adolescent and the parent should be allowed to express the
strengths and successes of the adolescent, in addition to communicating problems.
The effectiveness of an interview can be compromised when the
interviewer is distracted by other events or individuals in the office,
when extreme time limitations are obvious to either party, or when
there is expressible discomfort with either the patient or the interviewer. The need for an interpreter when a patient is hearing impaired
or a translator if the patient and interviewer are not language compatible provides a challenge, but not necessarily a barrier, under most
circumstances (see Chapter 12). Observations during the interview can",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
25,Chapter Unknown,General,1350,"be useful to the overall assessment of the patient’s maturity, presence or
absence of depression, and the parent–adolescent relationship. Given
the key role of a successful interview in the screening process, excellent training and experience should be sought by clinicians providing
comprehensive care to adolescent patients.",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
26,Chapter 582,recommended because of the low incidence and high recovery rates,1400,"provide reassurance about development. The peak incidence of germ
cell tumors of the testes is in late adolescence and early adulthood.
Because varicoceles often appear during puberty, the examination
also provides an opportunity to explain and reassure the patient
about this entity (see Chapter 582). Self-­examination is no longer
recommended because of the low incidence and high recovery rates
of testicular cancer in this age-­group. Palpation of the scrotum along
with visual inspection should be performed to document bilaterally
descended testicles.",development,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
27,Chapter 676,is recommended by the Bright Futures guidelines for adolescents who,1450,"Highly amplified music of the kind enjoyed by many adolescents may
result in hearing loss or tinnitus (see Chapter 676). A hearing screening
is recommended by the Bright Futures guidelines for adolescents who
are exposed to loud noises regularly, have had recurring ear infections,
or report problems.",infection|adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
28,Chapter 471,"the 95th percentile for their age are suspect for having hypertension,",1500,"Criteria for a diagnosis of hypertension are based on age-­specific
norms that increase with pubertal maturation (see Chapter 471). Individuals younger than 13 years old whose blood pressure (BP) exceeds
the 95th percentile for their age are suspect for having hypertension,
regardless of the absolute reading, and a BP between the 90th and 95th
percentiles should receive appropriate counseling relative to weight
and have a follow-­up examination in 6 months. Individuals 13-­18 years
old with a BP of 130-­139/80-­89 are suspect for having hypertension,
and those with a BP of 120-­129/80 should receive appropriate counseling relative to weight and have a follow-­up examination in 6 months.
Those with elevated BPs should have their BP measured on three separate occasions to determine the stability of the elevation before moving forward with an intervention strategy. The technique is important;
false-­positive results may be obtained if the cuff covers less than two
thirds of the upper arm. The patient should be seated, and an average
should be taken of the second and third consecutive readings, using the
change rather than the disappearance as the diastolic pressure. Most
adolescents with BP elevation have labile hypertension. If BP is below
2 standard deviations (SD) for age, anorexia nervosa and Addison disease should be considered.",disease|diagnosis|adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
29,Chapter 163,"and gonorrhea screening of females ≤24 years old, but less sufficient",1550,"). Populations with nutritional risk should also have the
hematocrit monitored. Androgens have the opposite effect, causing the
hematocrit to rise during male puberty; sexual maturity rating (SMR)
1 males have an average hematocrit of 39%, whereas those who have
completed puberty (SMR 5) have an average value of 43%. Tuberculosis (TB) testing is important in adolescents with risk factors, such
as an adolescent with HIV, living in a household with someone with
HIV, incarcerated, homeless, from a country where TB is common,
or those with other risk factors, because puberty has been shown to
activate this disease in those not previously treated. Hepatitis C virus
(HCV) screening should be offered to all adolescents 18 years and
older regardless of their risks. It should also be offered to adolescents
who report risk factors, such as IDU, received blood products or organ
donation before 1992, or long-­term hemodialysis. The rate of acute
hepatitis C has remained the highest among persons age 20-­39 years,
similar to age-­groups at highest risk for fatal overdose in the United
States and age at initiation of IDU among certain U.S. populations.
Compared with 2018, the greatest increase in the rates of acute hepatitis C were observed among those age 40-­49 years (31% increase),
followed by those age 30-­39 years (23% increase). For the first time
in more than a decade, the rate of acute hepatitis C decreased slightly
among those age 20-­29 years. Rates have consistently been lowest
among those age <20 years or ≥60 years. Sexually active adolescents
should undergo screening for STIs per CDC guidelines, regardless of
symptoms (see Chapter 163). There are clear indications for chlamydia
and gonorrhea screening of females ≤24 years old, but less sufficient
evidence to support routine screening in young men. Based on feasibility, efficacy, and cost-­effectiveness, evidence is insufficient to recommend routine chlamydia screening in all sexually active young men.
However, screening of sexually active young males should be considered in clinical settings associated with a high prevalence of chlamydia
(e.g., adolescent clinics, correctional facilities, sexually transmitted
disease clinics) and should be offered to all young MSM. HIV screening should be discussed and offered at least once to all adolescents age
15-­18 years and to younger and older adolescents who are at increased
risk. Routine screening of adolescents who are asymptomatic for certain STIs (e.g., syphilis, trichomoniasis, herpes simplex virus, HPV)
is not recommended. However, young MSM and pregnant adolescent
females might require more thorough evaluation for all sexually transmitted diseases. Because cervical cancer incidence is low and complications from procedures may outweigh benefits of screening adolescent
females, cervical cancer screening should not begin until age 21 years.
Visit Elsevier eBooks+ at eBooks.Health.Elsevier.com for Bibliography.",symptoms|hepatitis|tuberculosis|adolescent|disease,Adolescent Medicine,Adolescent,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
30,Chapter Unknown,General,1600,"Downloaded for mohamed ahmed (dr.mms2020@gmail.com) at University of Southern California from ClinicalKey.com by Elsevier on
April 21, 2024. For personal use only. No other uses without permission. Copyright ©2024. Elsevier Inc. All rights reserved.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:52:29.457411Z,2025-07-21T09:52:29.457411Z
